ATag,MTurk,ES.explicitly.reported,ES.Inferable,PPV.Computable,Multiple.Comparisons.Present,Machine.Learning,Signal.Detection.Theory,Selected.for.ES.Comparison,Small.User.Study,SEM,LogReg,MC.Violated,Replication.Study,PubYear,ACPA,Sample,Citations.GS.2021.06.07,Study1,Study2,Study3,Study4,Study5
29830e1e82e220616b384cd244666c1d3bd1ce7d,No,No,No,No,No,Yes,No,No,No,No,No,No,No,2016,32.6,72,163,NA,,,,
bfbd760d0237d5229f205266ff77fc39a6902bbb,No,No,No,No,No,No,No,No,No,No,No,No,No,2008,NA,NA,NA,NA,,,,
d6615fb461591f66c3cb061366315183c488b63d,No,No,No,No,No,Yes,No,No,No,No,No,No,No,2011,0.3,1040,3,NA,,,,
7dc16f59b1f1e6593883d494177312524edd5bd8,Yes,No,No,No,No,No,No,No,No,No,No,No,No,2014,36.42857143,725,255,NA,,,,
4b26e86b9f10db4a19dc46f89c7165c4539fffad,Yes,No,No,No,No,No,No,No,No,No,No,No,No,2011,3.3,174,33,NA,,,,
d75fc3dc780d7e28fded2aade0fc16cd7366b683,No,No,No,No,No,No,No,No,No,No,No,No,No,2015,21,128,126,NA,,,,
6f48bdc4dc3e11bed4c0e2f917dfce5581ca01b2,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,2011,5,24,50,NA,,,,
0f2a3e13729a25a5df1cd90a3e396474cc0672d3,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,2012,16.22222222,20,146,NA,,,,
0fd4164b6a37c71a7b0111746090cb751c69521b,No,No,No,No,No,No,No,No,No,No,No,No,No,2013,0.875,94992,7,NA,,,,
f76302da7eb7c6c280ac6ab0797756cc9a9704f9,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,2014,3.714285714,120,26,NA,,,,
ccbfe25077facb378aec0f72a12179661307817a,No,No,No,No,No,No,No,No,Yes,No,No,No,No,2010,9.636363636,45,106,NA,,,,
